iter	MultiClass
0	1.235834795
1	1.129974424
2	1.031228499
3	0.9560814405
4	0.8960209675
5	0.8397987605
6	0.7835481097
7	0.7447422776
8	0.7014012043
9	0.6612802575
10	0.6304012896
11	0.6026423667
12	0.574940261
13	0.5486902001
14	0.5252721604
15	0.4989834955
16	0.485059031
17	0.4616039
18	0.4442587294
19	0.4220490073
20	0.4054475211
21	0.3914556524
22	0.3785790164
23	0.3720905098
24	0.357440998
25	0.3435312836
26	0.3295083388
27	0.320615071
28	0.3111649542
29	0.3060225437
30	0.2948401029
31	0.2885878185
32	0.2808415779
33	0.2728737757
34	0.2626156545
35	0.2549090489
36	0.2482890207
37	0.2430419039
38	0.237994633
39	0.2298129033
40	0.2240467681
41	0.2186141268
42	0.2126154406
43	0.2060799361
44	0.2008325927
45	0.1966759168
46	0.1906613196
47	0.1859782508
48	0.1829708571
49	0.1787377305
50	0.1741868732
51	0.1704791384
52	0.1674576763
53	0.1637165249
54	0.1595351102
55	0.1561937656
56	0.1524279745
57	0.1490131637
58	0.1465778963
59	0.1438557812
60	0.1405537996
61	0.1375787823
62	0.1344016254
63	0.1325985821
64	0.1291897067
65	0.1267953976
66	0.1244669815
67	0.1219570894
68	0.1195431853
69	0.1173102802
70	0.1142266455
71	0.1113652655
72	0.109052859
73	0.1078313488
74	0.1059220399
75	0.1041411564
76	0.1019075786
77	0.1002991215
78	0.09803791601
79	0.09616731976
80	0.09440126664
81	0.092835482
82	0.09101322474
83	0.08968175645
84	0.08833730633
85	0.08673014283
86	0.08540854242
87	0.08417835492
88	0.0827134047
89	0.08157232174
90	0.08025869636
91	0.07866921359
92	0.07755661028
93	0.07618258496
94	0.07475204063
95	0.0736522207
96	0.07267092067
97	0.0717598691
98	0.07063088785
99	0.0694829181
100	0.06851452814
101	0.06735773445
102	0.06656962551
103	0.06557234453
104	0.06477120802
105	0.06385841227
106	0.06305048674
107	0.06227754747
108	0.06147526099
109	0.06081835124
110	0.06013840663
111	0.05933889353
112	0.05839879159
113	0.057774706
114	0.05684338826
115	0.05630182031
116	0.05555646189
117	0.05487791339
118	0.05422515718
119	0.05340920113
120	0.05261834314
121	0.05179201827
122	0.05118963005
123	0.05047080055
124	0.04991037479
125	0.04938199142
126	0.04882786973
127	0.04815397053
128	0.04768260118
129	0.04718051119
130	0.04655489341
131	0.04599472962
132	0.04541139332
133	0.04482487671
134	0.04435892621
135	0.04391204825
136	0.04351901957
137	0.04298786335
138	0.04257232144
139	0.04202857265
140	0.04167107981
141	0.04111260279
142	0.04061852329
143	0.04014651241
144	0.03976694
145	0.03934429704
146	0.03890125742
147	0.03848248299
148	0.03812470719
149	0.03780333115
150	0.03736891695
151	0.03695474816
152	0.03655013556
153	0.03625282807
154	0.03595584507
155	0.03552416619
156	0.03521975021
157	0.03486168291
158	0.03450797402
159	0.03417270404
160	0.0338417126
161	0.03350077002
162	0.03321595593
163	0.0329465432
164	0.03267956819
165	0.03242917238
166	0.03221160645
167	0.03190915886
168	0.03168569394
169	0.03139903925
170	0.03111031055
171	0.03080316355
172	0.03050991216
173	0.03027747329
174	0.0300269483
175	0.02971970334
176	0.02945402305
177	0.02925352758
178	0.02904451859
179	0.02880628395
180	0.02862330755
181	0.02838038261
182	0.02818660527
183	0.02798152713
184	0.02778334627
185	0.02762277601
186	0.02738652887
187	0.02716496202
188	0.02701367413
189	0.02679275616
190	0.0265629848
191	0.02630239503
192	0.02612436827
193	0.02596670104
194	0.02572566133
195	0.02557987332
196	0.02542358523
197	0.02525321559
198	0.02509491124
199	0.02493641322
200	0.02473707826
201	0.02457366042
